Prob	size	cond(H)	ndeg	#act x_bar

 BQP1	20000	1.00e+04	1	2006	
 BQP2	20000	1.00e+04	1	9878	
 BQP3	20000	1.00e+04	1	18050	
 BQP4	20000	1.00e+05	1	1993	
 BQP5	20000	1.00e+05	1	9941	
 BQP6	20000	1.00e+05	1	17983	
 BQP7	20000	1.00e+06	1	1980	
 BQP8	20000	1.00e+06	1	9940	
 BQP9	20000	1.00e+06	1	18023	

BQP10	20000	1.00e+04	4	1949	
BQP11	20000	1.00e+04	4	9916	
BQP12	20000	1.00e+04	4	18012	
BQP13	20000	1.00e+05	4	2005	
BQP14	20000	1.00e+05	4	10047	
BQP15	20000	1.00e+05	4	18056	
BQP16	20000	1.00e+06	4	2018	
BQP17	20000	1.00e+06	4	9917	
BQP18	20000	1.00e+06	4	18005	

BQP19	20000	1.00e+04	7	2078	
BQP20	20000	1.00e+04	7	9945	
BQP21	20000	1.00e+04	7	18015	
BQP22	20000	1.00e+05	7	1946	
BQP23	20000	1.00e+05	7	10086	
BQP24	20000	1.00e+05	7	18024	
BQP25	20000	1.00e+06	7	2003	
BQP26	20000	1.00e+06	7	9874	
BQP27	20000	1.00e+06	7	18020	

BQP28	20000	1.00e+04	10	1966	
BQP29	20000	1.00e+04	10	9983	
BQP30	20000	1.00e+04	10	18033	
BQP31	20000	1.00e+05	10	1958	
BQP32	20000	1.00e+05	10	9951	
BQP33	20000	1.00e+05	10	18025	
BQP34	20000	1.00e+06	10	1977	
BQP35	20000	1.00e+06	10	9888	
BQP36	20000	1.00e+06	10	17890	
