Prob	size	cond(H)	ndeg	#act x_bar

 BQP1	15000	1.00e+04	1	1467	
 BQP2	15000	1.00e+04	1	7529	
 BQP3	15000	1.00e+04	1	13484	
 BQP4	15000	1.00e+05	1	1572	
 BQP5	15000	1.00e+05	1	7519	
 BQP6	15000	1.00e+05	1	13482	
 BQP7	15000	1.00e+06	1	1499	
 BQP8	15000	1.00e+06	1	7483	
 BQP9	15000	1.00e+06	1	13505	

BQP10	15000	1.00e+04	4	1502	
BQP11	15000	1.00e+04	4	7490	
BQP12	15000	1.00e+04	4	13529	
BQP13	15000	1.00e+05	4	1533	
BQP14	15000	1.00e+05	4	7525	
BQP15	15000	1.00e+05	4	13505	
BQP16	15000	1.00e+06	4	1568	
BQP17	15000	1.00e+06	4	7519	
BQP18	15000	1.00e+06	4	13487	

BQP19	15000	1.00e+04	7	1519	
BQP20	15000	1.00e+04	7	7584	
BQP21	15000	1.00e+04	7	13522	
BQP22	15000	1.00e+05	7	1515	
BQP23	15000	1.00e+05	7	7515	
BQP24	15000	1.00e+05	7	13545	
BQP25	15000	1.00e+06	7	1443	
BQP26	15000	1.00e+06	7	7505	
BQP27	15000	1.00e+06	7	13552	

BQP28	15000	1.00e+04	10	1514	
BQP29	15000	1.00e+04	10	7536	
BQP30	15000	1.00e+04	10	13496	
BQP31	15000	1.00e+05	10	1548	
BQP32	15000	1.00e+05	10	7422	
BQP33	15000	1.00e+05	10	13524	
BQP34	15000	1.00e+06	10	1484	
BQP35	15000	1.00e+06	10	7547	
BQP36	15000	1.00e+06	10	13582	
