Prob	size	cond(H)	ndeg	#act x_bar

 BQP1	25000	1.00e+04	1	2555	
 BQP2	25000	1.00e+04	1	12601	
 BQP3	25000	1.00e+04	1	22505	
 BQP4	25000	1.00e+05	1	2471	
 BQP5	25000	1.00e+05	1	12316	
 BQP6	25000	1.00e+05	1	22514	
 BQP7	25000	1.00e+06	1	2418	
 BQP8	25000	1.00e+06	1	12557	
 BQP9	25000	1.00e+06	1	22478	

BQP10	25000	1.00e+04	4	2360	
BQP11	25000	1.00e+04	4	12513	
BQP12	25000	1.00e+04	4	22527	
BQP13	25000	1.00e+05	4	2614	
BQP14	25000	1.00e+05	4	12531	
BQP15	25000	1.00e+05	4	22414	
BQP16	25000	1.00e+06	4	2562	
BQP17	25000	1.00e+06	4	12486	
BQP18	25000	1.00e+06	4	22458	

BQP19	25000	1.00e+04	7	2507	
BQP20	25000	1.00e+04	7	12564	
BQP21	25000	1.00e+04	7	22482	
BQP22	25000	1.00e+05	7	2498	
BQP23	25000	1.00e+05	7	12466	
BQP24	25000	1.00e+05	7	22484	
BQP25	25000	1.00e+06	7	2508	
BQP26	25000	1.00e+06	7	12540	
BQP27	25000	1.00e+06	7	22556	

BQP28	25000	1.00e+04	10	2465	
BQP29	25000	1.00e+04	10	12588	
BQP30	25000	1.00e+04	10	22518	
BQP31	25000	1.00e+05	10	2497	
BQP32	25000	1.00e+05	10	12557	
BQP33	25000	1.00e+05	10	22567	
BQP34	25000	1.00e+06	10	2495	
BQP35	25000	1.00e+06	10	12564	
BQP36	25000	1.00e+06	10	22483	
